"ReportType","AnomalyType","Site","ItemNumber","ItemDescription","ItemType","Supplier","SupplierName","ScheduleNumber","ScheduleLine","PONumber","POLine","Metric1Label","Metric1Value","Metric2Label","Metric2Value","Metric3Label","Metric3Value","EarliestDate","LatestDate","Action"
"ISSUE","ORPHANED_SCHEDULE","2798","4040962-24","FC LUX FLAT WOVEN ASSY T","FG","","","SO10029","46","","","TotalScheduledQty","248.0000000000","","","","","18/05/2026 00:00:00","08/06/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4040963-24","TA.MAN VEL FC LUX","FG","","","SO10029","47","","","TotalScheduledQty","4193.0000000000","","","","","11/12/2025 00:00:00","12/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4040963-30","TA.MAN VEL FC LUX","FG","","","SO10029","48","","","TotalScheduledQty","1089858.0000000000","","","","","16/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4040964-20","TA.MAN VNL FC","FG","","","SO10029","151","","","TotalScheduledQty","2763.0000000000","","","","","05/01/2026 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4040965-10","TA.MAN LTH FC LUX","FG","","","SO10029","49","","","TotalScheduledQty","64.0000000000","","","","","25/05/2026 00:00:00","14/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4040966-30","TA.MAN FWG FC CENTER","FG","","","SO10029","50","","","TotalScheduledQty","464.0000000000","","","","","02/03/2026 00:00:00","12/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4040967-24","TA.MAN VEL FC LUX VENT","FG","","","SO10029","51","","","TotalScheduledQty","184.0000000000","","","","","09/03/2026 00:00:00","14/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4040967-30","TA.MAN VEL FC LUX VENT","FG","","","SO10029","52","","","TotalScheduledQty","130074.0000000000","","","","","15/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4040968-10","FC LUX VENT LEATHER/ALCA","FG","","","SO10029","53","","","TotalScheduledQty","41.0000000000","","","","","25/05/2026 00:00:00","07/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4040971-30","TA.MAN VEL FC FOLDABLE","FG","","","SO10029","56","","","TotalScheduledQty","66906.0000000000","","","","","22/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4040977-30","TA.MAN VEL FC CENTER","FG","","","SO10029","59","","","TotalScheduledQty","12432.0000000000","","","","","22/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4068056-CHAC","AR CPL LTHER A WCUPHLDER","No BOM","2798","","SO10008","219","","","TotalScheduledQty","71.0000000000","","","","","26/12/2025 00:00:00","03/08/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4141244-G","FC 6 WAY LH PART PVC / T","FG","","","SO10028","29","","","TotalScheduledQty","16.0000000000","","","","","05/01/2026 00:00:00","12/01/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4234484","TA.MAN SWIVEL stretch","FG","","","SO10029","331","","","TotalScheduledQty","156840.0000000000","","","","","15/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4379642-AMBE","V526 Front Seat Fix Pad","No BOM","2798","","SO10008","162","","","TotalScheduledQty","25.0000000000","","","","","01/06/2026 00:00:00","02/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4379665-CHAC","V526 Front Seat Fix Pad","No BOM","2798","","SO10008","164","","","TotalScheduledQty","40.0000000000","","","","","29/12/2025 00:00:00","29/12/2025 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4451715-30","TA.MAN VEL FC FLEX","FG","","","SO10029","118","","","TotalScheduledQty","117096.0000000000","","","","","22/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4453945-1B28-PUR","TRIM COVER FHR KKS","FG","","","SO10006","198","","","TotalScheduledQty","40.0000000000","","","","","12/12/2025 00:00:00","12/12/2025 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4453945-1B82-PUR","TRIM COVER FHR KKS","FG","","","SO10006","199","","","TotalScheduledQty","40.0000000000","","","","","12/12/2025 00:00:00","12/12/2025 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4453945-1D13-PUR","TRIM COVER FHR KKS","FG","","","SO10006","200","","","TotalScheduledQty","40.0000000000","","","","","12/12/2025 00:00:00","12/12/2025 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4453945-8U00-PUR","TRIM COVER FHR KKS","FG","","","SO10006","203","","","TotalScheduledQty","16640.0000000000","","","","","12/12/2025 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4453945-9E38-PUR","TRIM COVER FHR KKS","FG","","","SO10006","204","","","TotalScheduledQty","8994.0000000000","","","","","12/12/2025 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4562140-10","TA.MAN LTH FBS LUXVEBELH","FG","","","SO10029","107","","","TotalScheduledQty","8.0000000000","","","","","18/05/2026 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4562156-30","TA.MAN VEL FC REMOVABLE","FG","","","SO10029","136","","","TotalScheduledQty","9324.0000000000","","","","","23/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798853-30","TA.REN FAB FC STD","FG","","","SO10029","264","","","TotalScheduledQty","584280.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798855-30","TA.REN FAB FC CF VENT","FG","","","SO10029","266","","","TotalScheduledQty","156880.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798856-30","TA.REN FAB FC AUX","FG","","","SO10029","267","","","TotalScheduledQty","13560.0000000000","","","","","16/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798877-65","TA.REN LTH FC STD","FG","","","SO10029","268","","","TotalScheduledQty","94110.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798878-65","TA.REN LTH FC CF","FG","","","SO10029","269","","","TotalScheduledQty","29790.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798880-65","TA.REN LTH FC CF VENT","FG","","","SO10029","270","","","TotalScheduledQty","62340.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798883-30","TA.REN FAB FB HR CF RH","FG","","","SO10029","272","","","TotalScheduledQty","29240.0000000000","","","","","11/12/2025 00:00:00","12/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798884-30","TA.REN FAB FB HRCFVE RH","FG","","","SO10029","273","","","TotalScheduledQty","6040.0000000000","","","","","10/12/2025 00:00:00","02/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798887-65","TA.REN LTH FB HR CF RH","FG","","","SO10029","275","","","TotalScheduledQty","5500.0000000000","","","","","15/12/2025 00:00:00","02/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798888-65","TA.REN LTH FB HRCFVE RH","FG","","","SO10029","276","","","TotalScheduledQty","18170.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798891-30","TA.REN FAB FB AUX LH","FG","","","SO10029","277","","","TotalScheduledQty","13240.0000000000","","","","","11/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798893-30","TA.REN FAB FB STD RH","FG","","","SO10029","278","","","TotalScheduledQty","331680.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798894-65","TA.REN LTH FB STD RH","FG","","","SO10029","279","","","TotalScheduledQty","14640.0000000000","","","","","11/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798895-30","TA.REN FAB FB EE RH","FG","","","SO10029","280","","","TotalScheduledQty","152600.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798896-65","TA.REN LTH FB EE RH","FG","","","SO10029","281","","","TotalScheduledQty","54480.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798897-30","TA.REN FAB FB SUP LH","FG","","","SO10029","282","","","TotalScheduledQty","2110.0000000000","","","","","11/12/2025 00:00:00","28/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4798898-65","TA.REN LTH FB SUP LH","FG","","","SO10029","283","","","TotalScheduledQty","13260.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4816785-65","TA.REN LTH FB HR STD LH","FG","","","SO10029","284","","","TotalScheduledQty","372.0000000000","","","","","23/02/2026 00:00:00","14/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4816794-65","TA.REN LTH FB HR CF LH","FG","","","SO10029","285","","","TotalScheduledQty","24130.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4816808-65","TA.REN LTH FB HRCFVE LH","FG","","","SO10029","286","","","TotalScheduledQty","44370.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4817547-30","TA.REN FAB FB HR CF LH","FG","","","SO10029","288","","","TotalScheduledQty","269680.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4817558-30","TA.REN FAB FB HRCFVE LH","FG","","","SO10029","289","","","TotalScheduledQty","150640.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4817565-30","TA.REN FAB FB STD LH","FG","","","SO10029","291","","","TotalScheduledQty","97120.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4817569-65","TA.REN LTH FB STD LH","FG","","","SO10029","292","","","TotalScheduledQty","11340.0000000000","","","","","11/12/2025 00:00:00","02/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4838727-30","TA.REN FAB FC CF","FG","","","SO10029","293","","","TotalScheduledQty","298960.0000000000","","","","","10/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4846332-30","TA.REN FAB NECKREST","FG","","","SO10029","294","","","TotalScheduledQty","152880.0000000000","","","","","11/12/2025 00:00:00","02/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4846333-65","TA.REN LTH NECKREST","FG","","","SO10029","295","","","TotalScheduledQty","67200.0000000000","","","","","11/12/2025 00:00:00","02/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4898608-HZD-1","Opel OV5x FHR 4W","FG","2101","","SO10016","8","","","TotalScheduledQty","9300.0000000000","","","","","11/12/2025 00:00:00","29/01/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5018677-FTG-1","Opel OV5x FHR 4W","FG","2101","","SO10016","6","","","TotalScheduledQty","167520.0000000000","","","","","11/12/2025 00:00:00","12/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5018686-HZE-1","Opel OV5x FHR 4W","FG","2101","","SO10016","7","","","TotalScheduledQty","152700.0000000000","","","","","11/12/2025 00:00:00","30/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5042961-BLK","Porsche PO426 FHR","FG","","","SO10006","134","","","TotalScheduledQty","49738.0000000000","","","","","12/12/2025 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5042961-OH5","Porsche PO426 FHR","FG","","","SO10006","135","","","TotalScheduledQty","14712.0000000000","","","","","12/12/2025 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5042962-BLK","Porsche PO426 ROHR","FG","","","SO10006","136","","","TotalScheduledQty","55440.0000000000","","","","","12/12/2025 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5042962-OH5","Porsche PO426 ROHR","FG","","","SO10006","137","","","TotalScheduledQty","17278.0000000000","","","","","26/01/2026 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5042968-BLK","Porsche PO426 FHR","FG","","","SO10006","104","","","TotalScheduledQty","132264.0000000000","","","","","12/12/2025 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5042968-IN2","Porsche PO426 FHR","FG","","","SO10006","107","","","TotalScheduledQty","4800.0000000000","","","","","19/01/2026 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5042968-OG6","Porsche PO426 FHR","FG","","","SO10006","106","","","TotalScheduledQty","25944.0000000000","","","","","05/01/2026 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5042968-OH5","Porsche PO426 FHR","FG","","","SO10006","109","","","TotalScheduledQty","9288.0000000000","","","","","12/12/2025 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5042968-OL8","Porsche PO426 FHR","FG","","","SO10006","108","","","TotalScheduledQty","31392.0000000000","","","","","12/12/2025 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5042968-OW4","Porsche PO426 FHR","FG","","","SO10006","105","","","TotalScheduledQty","11880.0000000000","","","","","12/12/2025 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5045877-BLK","Porsche PO426 FHR","FG","","","SO10006","159","","","TotalScheduledQty","539232.0000000000","","","","","12/12/2025 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5066238-OT2","PorschePO426 FHR Wappen","FG","","","SO10006","117","","","TotalScheduledQty","7722.0000000000","","","","","06/04/2026 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5066243-BLK","Porsche PO426 FHR Wappen","FG","","","SO10006","111","","","TotalScheduledQty","96240.0000000000","","","","","12/12/2025 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5066243-IN2","Porsche PO426 FHR Wappen","FG","","","SO10006","114","","","TotalScheduledQty","2496.0000000000","","","","","02/03/2026 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5066243-OG6","Porsche PO426 FHR Wappen","FG","","","SO10006","113","","","TotalScheduledQty","20304.0000000000","","","","","12/12/2025 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5066243-OH5","Porsche PO426 FHR Wappen","FG","","","SO10006","116","","","TotalScheduledQty","6016.0000000000","","","","","02/02/2026 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5066243-OL8","Porsche PO426 FHR Wappen","FG","","","SO10006","115","","","TotalScheduledQty","26544.0000000000","","","","","02/02/2026 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5066243-OW4","Porsche PO426 FHR Wappen","FG","","","SO10006","112","","","TotalScheduledQty","5700.0000000000","","","","","06/04/2026 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","5067207-OT2","Porsche PO426 RARM","FG","","","SO10006","102","","","TotalScheduledQty","12276.0000000000","","","","","12/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
