"ReportType","AnomalyType","Site","ItemNumber","ItemDescription","ItemType","Supplier","SupplierName","ScheduleNumber","ScheduleLine","PONumber","POLine","Metric1Label","Metric1Value","Metric2Label","Metric2Value","Metric3Label","Metric3Value","EarliestDate","LatestDate","Action"
"ISSUE","STALE_RELEASE","2798","5013412-17501U_L","GUNBY F3-D26 WKS-G36","RM","402512","Lear Corporation Poland II S","","","55104151","1","ReleaseID","00001","","","","","25/06/2024 00:00:00","25/06/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","5013412-17503C_L","GUNBY F3-D26 WKS-G36","No BOM","402512","Lear Corporation Poland II S","","","55104151","3","ReleaseID","00001","","","","","25/06/2024 00:00:00","25/06/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","5013412-1750H7_L","GUNBY F3-D26 WKS-G36","RM","402512","Lear Corporation Poland II S","","","55104151","2","ReleaseID","00001","","","","","25/06/2024 00:00:00","25/06/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","5102753","PSA OV51 4W","RM","2189","ADIENT AUTOMOTIVE ROMANIA","","","55106587","1","ReleaseID","20250331-001","","","","","20/05/2025 00:00:00","20/05/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","5176302","AR CARRIER","No BOM","394112","Kolektor Mobility d o o","","","55103450","19","ReleaseID","20241202-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","5176304","FSC FOAM PAD EXT ASM","No BOM","2189","ADIENT AUTOMOTIVE ROMANIA","","","55103535","9","ReleaseID","20250304-001","","","","","04/04/2025 00:00:00","04/04/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","5176304","FSC FOAM PAD EXT ASM","No BOM","322","ADIENT SLOVENJ GRADEC D.O.O.","","","55103537","3","ReleaseID","20211026-001","","","","","05/12/2022 00:00:00","05/12/2022 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","5207521","FSC FOAM PAD EXT ASM","No BOM","322","ADIENT SLOVENJ GRADEC D.O.O.","","","55103537","2","ReleaseID","20211026-001","","","","","27/06/2022 00:00:00","27/06/2022 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","5207522","Upper Foam Pad RAR Arm","No BOM","2189","ADIENT AUTOMOTIVE ROMANIA","","","55103535","10","ReleaseID","20250304-001","","","","","04/04/2025 00:00:00","04/04/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","5319159-BLON","CUPHOLDER COVER","No BOM","394112","Kolektor Mobility d o o","","","55103450","32","ReleaseID","20250327-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","5319159-CHAC","CUPHOLDER COVER","No BOM","394112","Kolektor Mobility d o o","","","55103450","33","ReleaseID","20250327-001","","","","","31/01/2025 00:00:00","31/01/2025 00:00:00","Clear release ID or reactivate PO line"
